Sample	Type	IRF2BP2 Expression	TNF Expression
GSM376501	AML	28670.3	717.526
GSM376504	AML	19536.4	180.193
GSM376507	AML	28350.8	390.577
GSM376508	AML	29517.9	231.571
GSM376512	AML	25394.7	948.848
GSM376513	AML	19379	1008.9
GSM376514	AML	23650.1	100.982
GSM376520	AML	28713	781.488
GSM376522	AML	23527.2	902.433
GSM376523	AML	24561.9	10619.7
GSM376524	AML	38229.8	1971.09
GSM376525	AML	31740.2	158.197
GSM376527	AML	26480.2	407.504
GSM376529	AML	27937.7	369.683
GSM376532	AML	25946.1	798.764
GSM376538	AML	43898.7	329.19
GSM376552	AML	20679.7	597.76
GSM376554	AML	26288.5	316.877
GSM376556	AML	36725.1	105.452
GSM376558	AML	26320.3	3862.27
GSM376564	AML	14358.5	320.536
GSM376565	AML	31881.4	9930.13
GSM376568	AML	20361.8	438.34
GSM376569	AML	26584.6	886.755
GSM376571	AML	37147.2	2241.23
GSM376575	AML	34627.5	1423.24
GSM376580	AML	37969.6	4030.36
GSM376588	AML	21137.5	108.759
GSM376598	AML	23619.6	110.259
GSM376599	AML	21988.9	174.896
GSM376600	AML	23471.5	636.229
GSM376603	AML	24228.5	188.031
GSM376604	AML	36681.1	4401.85
GSM376609	AML	27399.5	334.917
GSM376611	AML	22306.4	108.444
GSM376613	AML	27178.9	677.698
GSM376614	AML	19032.1	36.4472
GSM376617	AML	30519.3	578.893
GSM376620	AML	29331.9	327.013
GSM376621	AML	27207.4	285.915
GSM376626	AML	29946.6	557.393
GSM376629	AML	31286.6	2897.17
GSM376632	AML	27956.5	7068.73
GSM376633	AML	29670.2	231.868
GSM376634	AML	30558.3	805.163
GSM376635	AML	28758.7	298.56
GSM376637	AML	38785.9	432.961
GSM376639	AML	27642.5	459.234
GSM376641	AML	22937.6	445.792
GSM376642	AML	18850	253.103
GSM376643	AML	41655.1	622.72
GSM376645	AML	28111.1	2726.95
GSM376653	AML	19477.6	109.534
GSM376657	AML	24313.9	514.102
GSM376661	AML	18370.1	120.715
